broadcast_gain,SOA,n,AUC,sAUC
0.0,1,60,0.5217013888888887,0.5217013888888887
0.1,1,60,0.5057283142389525,0.5057283142389525
0.2,1,60,0.36518518518518517,0.6348148148148148
0.3,1,60,0.4398084815321477,0.5601915184678523
0.4,1,60,0.5574555403556772,0.5574555403556772
0.5,1,60,0.5447443181818182,0.5447443181818182
0.6,1,60,0.4509001636661211,0.5490998363338788
0.7,1,60,0.48888888888888904,0.511111111111111
0.8,1,60,0.5248447204968946,0.5248447204968946
0.9,1,60,0.4749999999999999,0.5250000000000001
1.0,1,60,0.4097127222982216,0.5902872777017785
0.0,2,60,0.295,0.7050000000000001
0.1,2,60,0.3927986906710311,0.6072013093289689
0.2,2,60,0.49263502454991825,0.5073649754500817
0.3,2,60,0.4157119476268412,0.5842880523731588
0.4,2,60,0.5116459627329192,0.5116459627329192
0.5,2,60,0.4849521203830369,0.5150478796169631
0.6,2,60,0.23082386363636365,0.7691761363636364
0.7,2,60,0.49407407407407417,0.5059259259259259
0.8,2,60,0.4402618657937806,0.5597381342062193
0.9,2,60,0.5504658385093167,0.5504658385093167
1.0,2,60,0.41555555555555546,0.5844444444444445
0.0,3,60,0.5891980360065467,0.5891980360065467
0.1,3,60,0.4922360248447204,0.5077639751552796
0.2,3,60,0.5908385093167701,0.5908385093167701
0.3,3,60,0.42544459644322835,0.5745554035567717
0.4,3,60,0.5360195360195359,0.5360195360195359
0.5,3,60,0.40625000000000017,0.5937499999999998
0.6,3,60,0.421875,0.578125
0.7,3,60,0.49229781771501924,0.5077021822849808
0.8,3,60,0.3399452804377565,0.6600547195622435
0.9,3,60,0.5531135531135529,0.5531135531135529
1.0,3,60,0.35157318741450055,0.6484268125854995
0.0,4,60,0.4180622009569378,0.5819377990430622
0.1,4,60,0.43008225616921275,0.5699177438307872
0.2,4,60,0.5000000000000002,0.5000000000000002
0.3,4,60,0.3696172248803828,0.6303827751196172
0.4,4,60,0.48840048840048833,0.5115995115995117
0.5,4,60,0.5019255455712454,0.5019255455712454
0.6,4,60,0.5137499999999999,0.5137499999999999
0.7,4,60,0.43002392344497614,0.5699760765550239
0.8,4,60,0.3977673325499411,0.6022326674500589
0.9,4,60,0.4294947121034078,0.5705052878965922
1.0,4,60,0.37485311398354876,0.6251468860164513
0.0,6,60,0.4877641824249167,0.5122358175750833
0.1,6,60,0.36666666666666664,0.6333333333333333
0.2,6,60,0.28,0.72
0.3,6,60,0.43611111111111106,0.5638888888888889
0.4,6,60,0.6140155728587318,0.6140155728587318
0.5,6,60,0.47488839285714285,0.5251116071428572
0.6,6,60,0.46689113355780026,0.5331088664421997
0.7,6,60,0.6629464285714286,0.6629464285714286
0.8,6,60,0.5039281705948372,0.5039281705948372
0.9,6,60,0.42491657397107896,0.575083426028921
1.0,6,60,0.6077008928571429,0.6077008928571429
0.0,8,60,0.6001131221719458,0.6001131221719458
0.1,8,60,0.4751131221719457,0.5248868778280543
0.2,8,60,0.4605714285714285,0.5394285714285715
0.3,8,60,0.4691428571428572,0.5308571428571428
0.4,8,60,0.5742857142857144,0.5742857142857144
0.5,8,60,0.44739819004524894,0.552601809954751
0.6,8,60,0.3268571428571428,0.6731428571428573
0.7,8,60,0.4584736251402918,0.5415263748597082
0.8,8,60,0.40345982142857145,0.5965401785714286
0.9,8,60,0.48777777777777775,0.5122222222222222
1.0,8,60,0.4933035714285714,0.5066964285714286
