N_nodes,SOA,accuracy,mean_confidence,n_trials,n_hits
32,1,0.72,0.2845342022855227,25,18
32,2,0.84,0.2801098256300746,25,21
32,3,0.76,0.2822411828210055,25,19
32,4,0.72,0.28487124535236086,25,18
32,6,0.36,0.27454864846776067,25,9
32,8,0.64,0.28277383533804773,25,16
64,1,0.72,0.2585425221320135,25,18
64,2,0.64,0.26194835439617875,25,16
64,3,0.76,0.26059337849677716,25,19
64,4,0.8,0.2564934965534214,25,20
64,6,0.36,0.25654363446927625,25,9
64,8,0.48,0.2516748416982978,25,12
128,1,0.8,0.23834977623732342,25,20
128,2,0.92,0.2423754055638535,25,23
128,3,0.72,0.24097547591988358,25,18
128,4,0.68,0.24035170045203957,25,17
128,6,0.44,0.23959895881907847,25,11
128,8,0.76,0.23524428701098737,25,19
256,1,0.76,0.22527651414294264,25,19
256,2,0.92,0.227325826262303,25,23
256,3,0.76,0.22788173691654948,25,19
256,4,0.64,0.22525421899924397,25,16
256,6,0.64,0.22712683806737513,25,16
256,8,0.6,0.22671690569325112,25,15
512,1,0.92,0.2193154208512436,25,23
512,2,0.88,0.21858814664566545,25,22
512,3,0.8,0.21997358864154026,25,20
512,4,0.8,0.21843444593570477,25,20
512,6,0.68,0.21780312348611905,25,17
512,8,0.56,0.21788965338895047,25,14
