sweep,dir,gain,n,AUC,AUC_lo,AUC_hi,p_value,effect_size,orientation,significant
causal_bcast_sweep,gain_0p0,0.0,360,0.49859591013824867,0.4303403321957276,0.5661255698243159,0.9700187382885697,-0.04187893348249853,normal,False
causal_bcast_sweep,gain_0p1,0.1,360,0.5504724711461341,0.4887015254373924,0.6129079357014914,0.11805121798875702,1.5527664239371226,inverted,False
causal_bcast_sweep,gain_0p2,0.2,360,0.5539062500000007,0.4894140685596789,0.6143302021394981,0.09868831980012492,1.679006127117161,inverted,False
causal_bcast_sweep,gain_0p3,0.3,360,0.5650628758884634,0.5033102214316234,0.62742605356822,0.03685196752029981,2.079013529684668,inverted,True
causal_bcast_sweep_ext,gain_0p0,0.0,360,0.49859591013824867,0.4303403321957276,0.5661255698243159,0.9700187382885697,-0.04187893348249853,normal,False
causal_bcast_sweep_ext,gain_0p1,0.1,360,0.5504724711461341,0.4887015254373924,0.6129079357014914,0.11805121798875702,1.5527664239371226,inverted,False
causal_bcast_sweep_ext,gain_0p2,0.2,360,0.5539062500000007,0.4894140685596789,0.6143302021394981,0.09868831980012492,1.679006127117161,inverted,False
causal_bcast_sweep_ext,gain_0p3,0.3,360,0.5650628758884634,0.5033102214316234,0.62742605356822,0.03685196752029981,2.079013529684668,inverted,True
causal_bcast_sweep_ext,gain_0p4,0.4,360,0.5490013855564189,0.4843573158486993,0.6122465118866002,0.11242973141786383,1.5647188134415912,normal,False
causal_bcast_sweep_ext,gain_0p5,0.5,360,0.5230434782608695,0.4606741535921259,0.5836307775166468,0.4540911930043723,0.7455715474120057,inverted,False
causal_bcast_sweep_ext,gain_0p6,0.6,360,0.5954341188981506,0.5345763559499548,0.6521477479653734,0.0018738288569643974,2.9935101414087053,inverted,True
causal_bcast_sweep_ext,gain_0p7,0.7,360,0.5052508361204014,0.4362064860024682,0.5635581118394707,0.8688319800124922,0.16682571483431954,normal,False
causal_bcast_sweep_ext,gain_0p8,0.8,360,0.5566574622844828,0.49355292583803406,0.6155832143922767,0.0712054965646471,1.7820292700447262,inverted,False
causal_bcast_sweep_ext,gain_0p9,0.9,360,0.5210631403227394,0.4613769669003134,0.581072884263107,0.5265459088069956,0.6631053742476656,inverted,False
causal_bcast_sweep_ext,gain_1p0,1.0,360,0.5509370015948962,0.49448351016176395,0.6105727304377462,0.10118675827607745,1.6441768028645802,inverted,False
