RewireP,Size,Seeds,Threshold_mean,Threshold_lo,Threshold_hi,Clustering,CharPath,GlobalEff,Fiedler,WeightedEff,CommMean,LongRangeFrac
0.32,64.0,8,16.0,16.0,16.0,,,,,,,
0.33,64.0,8,16.0,16.0,16.0,,,,,,,
0.34,64.0,8,2.105042016806723,1.9446575306772864,2.26542650293616,,,,,,,
0.35,64.0,8,16.0,16.0,16.0,,,,,,,
0.36,64.0,8,4.07563025210084,-1.0258745126770874,9.177135016878768,,,,,,,
0.37,64.0,8,16.0,16.0,16.0,,,,,,,
0.38,64.0,8,48.0,48.0,48.0,,,,,,,
0.39,64.0,8,48.0,48.0,48.0,,,,,,,
0.4,64.0,8,2.0,-1.92,5.92,,,,,,,
0.405,64.0,8,64.0,64.0,64.0,0.2252425755743368,1.816220238095238,0.6040839947089951,2.3375188697228513,0.12591603257913656,53.97399742712137,0.465576171875
0.41,64.0,8,64.0,64.0,64.0,0.22342115794529774,1.8091517857142858,0.605840773809524,2.3424325353622595,0.12524026207304312,54.49467177550564,0.4668782552083333
0.42,64.0,8,64.0,64.0,64.0,0.22732511618429485,1.8093998015873014,0.6056754298941801,2.3914218442550386,0.12504276747909104,54.32893277788195,0.4779459635416667
